date,ibe_battery_prod,ibe_hydro-reservoir_prod,ibe_hydro-pumped_prod,ibe_battery_cons,ibe_hydro-reservoir_cons,ibe_hydro-pumped_cons,ibe_battery_soc,ibe_hydro-reservoir_soc,ibe_hydro-pumped_soc
2025-01-03 11:00:00,0.0,0.0,-1478.8883300000002,-0.0,-0.0,1478.8883300000002,320.0,12839471.266549999,6283935.643900002
2025-01-03 12:00:00,0.0,0.0,-3806.2960600000015,-0.0,-0.0,3806.2960600000015,320.0,12839472.266549999,6287742.939960002
2025-01-03 13:00:00,0.0,0.0,-4013.7767599999997,-0.0,-0.0,4013.7767599999997,320.0,12839473.266549999,6291757.716720002
2025-01-03 14:00:00,0.0,0.0,-4586.488230000001,-0.0,-0.0,4586.488230000001,320.0,12839474.266549999,6296345.204950002
2025-01-03 15:00:00,0.0,0.0,-2225.952919999999,-0.0,-0.0,2225.952919999999,320.0,12839475.266549999,6298572.157870002
2025-01-03 16:00:00,0.0,0.0,2523.7782300000013,-0.0,-0.0,-0.0,320.0,12839476.266549999,6296049.379640002
2025-01-03 17:00:00,0.0,0.0,10057.8877,-0.0,-0.0,-0.0,320.0,12839477.266549999,6285992.491940002
2025-01-03 18:00:00,0.0,3122.8495399999993,10119.0,-0.0,-0.0,-0.0,320.0,12836355.417009998,6275874.491940002
2025-01-03 19:00:00,0.0,4991.418299999999,10119.0,-0.0,-0.0,-0.0,320.0,12831364.998709999,6265756.491940002
2025-01-03 20:00:00,0.0,5718.015410000002,10119.0,-0.0,-0.0,-0.0,320.0,12825647.983299999,6255638.491940002
2025-01-03 21:00:00,0.0,5116.3121999999985,10119.0,-0.0,-0.0,-0.0,320.0,12820532.671099998,6245520.491940002
2025-01-03 22:00:00,0.0,3803.0570199999984,10119.0,-0.0,-0.0,-0.0,320.0,12816730.614079999,6235402.491940002
2025-01-03 23:00:00,0.0,664.121720000001,10119.0,-0.0,-0.0,-0.0,320.0,12816067.49236,6225284.491940002
2025-01-04 00:00:00,0.0,132.38362000000052,10119.0,-0.0,-0.0,-0.0,320.0,12815936.10874,6215166.491940002
2025-01-04 01:00:00,0.0,0.0,8718.31092,-0.0,-0.0,-0.0,320.0,12815937.10874,6206449.181020002
2025-01-04 02:00:00,0.0,0.0,8480.36917,-0.0,-0.0,-0.0,320.0,12815938.10874,6197969.811850002
2025-01-04 03:00:00,0.0,0.0,8999.15907,-0.0,-0.0,-0.0,320.0,12815939.10874,6188971.652780002
2025-01-04 04:00:00,0.0,0.0,9028.29872,-0.0,-0.0,-0.0,320.0,12815940.10874,6179944.354060002
2025-01-04 05:00:00,0.0,0.0,9867.354749999999,-0.0,-0.0,-0.0,320.0,12815941.10874,6170077.999310002
2025-01-04 06:00:00,0.0,3168.167949999999,10119.0,-0.0,-0.0,-0.0,320.0,12812773.94079,6159959.999310002
2025-01-04 07:00:00,0.0,7282.933849999998,10119.0,-0.0,-0.0,-0.0,320.0,12805492.00694,6149841.999310002
2025-01-04 08:00:00,0.0,10685.908159999995,10119.0,-0.0,-0.0,-0.0,320.0,12794807.09878,6139723.999310002
2025-01-04 09:00:00,0.0,9648.57328,10119.0,-0.0,-0.0,-0.0,320.0,12785159.525500001,6129605.999310002
2025-01-04 10:00:00,0.0,8319.787270000004,10119.0,-0.0,-0.0,-0.0,320.0,12776840.738230001,6119487.999310002
2025-01-04 11:00:00,0.0,2930.37874,10119.0,-0.0,-0.0,-0.0,320.0,12773911.359490002,6109369.999310002
2025-01-04 12:00:00,0.0,0.0,8131.132980000002,-0.0,-0.0,-0.0,320.0,12773912.359490002,6101239.8663300015
2025-01-04 13:00:00,0.0,0.0,6899.672329999999,-0.0,-0.0,-0.0,320.0,12773913.359490002,6094341.194000001
2025-01-04 14:00:00,0.0,0.0,7642.847040000004,-0.0,-0.0,-0.0,320.0,12773914.359490002,6086699.346960001
2025-01-04 15:00:00,0.0,1558.1315999999988,10119.0,-0.0,-0.0,-0.0,320.0,12772357.227890002,6076581.346960001
2025-01-04 16:00:00,0.0,9034.890119999996,10119.0,-0.0,-0.0,-0.0,320.0,12763323.337770002,6066463.346960001
